source	target	mor
Smad4	Tnc	1
Ets1	Ang	1
Hr	Cdkn1a	1
Znf148	Mmp3	1
Stat6	Tff3	1
Nr2f1	Rhd	1
Znf263	Alox5	1
Rest	Vip	-1
Nr5a1	Btk	1
Nr5a1	Srsf1	1
Cdx2	Ptgs2	-1
Nr1d1	Il6	1
Nr1d1	Ptgs2	1
Yy1	Pax2	1
Rela	Gstp1	1
Rela	Gstp2	1
Nr1h3	Nr5a2	1
Hnf4a	Myocd	1
Msc	Myocd	1
Cebpe	Ywhab	1
Tp53	Plk1	-1
Smarcc1	Smarcc1	1
Smarcc1	Kras	1
Id3	Smarcc1	1
Tcf12	Smarcc1	1
Tcf3	Smarcc1	1
Hhex	Kdr	1
Zfp362	Kdr	1
Sp1	Tgfa	1
Runx1	Erap1	1
Maf	Cryab	1
Mafa	Cryab	1
Pax6	Cryab	1
Rarb	Cryab	1
Rxrb	Cryab	1
Fli1	Snap25	1
Pou4f1	Snap25	1
Myc	Ddit3	-1
Smad7	Krt14	-1
Pparg	Ptges	-1
Klf11	Maob	1
Klf10	Maob	1
Nr4a1	Cyp17a1	1
Bhlha15	Krt19	1
Bhlha15	Krt20	-1
Meox1	Nkx3-2	1
Meox2	Nkx3-2	1
Crem	Ccna2	-1
Pou3f2	Braf	1
Pou3f2	Pou3f2	1
Ets1	Pth	1
Rela	Ing4	1
Cebpa	Dsc3	1
Cebpb	Dsc3	1
Cebpg	Dsc3	1
Lef1	Neurog1	1
Foxo3	Tsc22d3	1
Klf4	Plaur	1
Runx1	Cd8a	1
Nkx2-1	Hgf	1
Srebf1	Adipoq	1
Epas1	Serpine1	1
Jund	Plaur	1
Esr1	Bmp6	1
Esr2	App	1
Esr2	Bmp6	1
Pparg	Cdkn1a	1
Tp53	Chek2	-1
Nfya	Chek2	-1
Myb	Nr3c1	1
Figla	Zp2	1
Cebpb	Abcb1a	1
Cdx2	Ugt1a9	1
Tp53	Hoxa10	1
Hoxa10	Tp53	1
Esr1	Hoxa10	1
Hoxa10	Esr1	1
Myog	Mef2c	1
Mef2c	Myog	1
Sp1	Mvp	1
Foxo3	Pdk4	1
Nr3c1	Pdk4	1
Irf9	Ins2	1
Irf9	Sst	1
Neurog3	Ins2	1
Neurog3	Sst	1
Pax6	Gck	1
Nr2f1	Col7a1	1
Rela	Chuk	1
Rela	Map3k14	1
Cebpg	Rtn4	1
Cebpb	Btk	1
Isl2	Ins2	1
Hif1a	Timp1	1
Nfkb1	Tgfb1	-1
Elf4	Lum	1
Tp53	Lum	1
Elf4	Faslg	1
Jun	Efhd2	1
Runx1	Timp1	1
Runx2	Timp1	1
Runx1	Jund	1
Tp53	Hsp90ab1	-1
Creb1	Slc2a3	1
Ybx1	Slc2a3	1
Sp3	Slc2a3	1
Ebf1	Stmn2	1
Stat5b	Igf1r	1
Stat5b	Rb1	1
Fos	Drd1	1
Nkx6-1	Nkx6-1	1
Srf	Bcl2	1
Tp53	Cat	1
Tp53	Prdx6	1
Tp53	Slc2a1	-1
Tp53	Slc2a4	-1
Tp53	Abcc3	1
Gata4	Igf1	1
Foxl2	Star	-1
Cebpb	Krt15	1
Tfap2a	Add1	1
Ascl1	Bub1	1
Esr1	S100g	1
Pax8	Hhex	1
Apex1	Hhex	1
Ssrp1	Hhex	1
Nr4a1	Crh	1
Nr4a2	Pomc	1
Nfkb1	Isg20	1
Rela	Isg20	1
Pparg	Gadd45a	1
Vdr	Cdkn1b	1
E2f1	Lrba	1
Bhlhe40	Cyp51a1	1
Bhlhe41	Cyp51a1	1
Bhlhe40	Cyp7a1	1
Bhlhe41	Cyp7a1	1
Dbp	Cyp7a1	1
Tbr1	Grin2b	1
Hnf1b	Pkhd1	1
Hnf1a	Pkhd1	1
Pparg	Bcl2	1
Ppara	Agt	1
Ppara	Ang	1
Rela	Hsd17b1	-1
Sp1	Cyp19a1	1
Stat3	Cyp19a1	1
Trerf1	Cyp17a1	1
Gli3	Smo	1
Mef2c	Bmp10	1
Pparg	Insig1	1
Tead4	Vegfa	1
Htatip2	Myc	1
Htatip2	Esr1	1
Fos	Acp5	1
Fos	Nfatc1	1
Ahr	Mmp1a	1
Ezh2	Ccna2	1
Ezh2	Rbl2	1
Myc	Prkn	1
Mycn	Prkn	-1
Nfkb1	Il2	1
Tp63	Lyn	1
Myc	Csn2	1
Jun	Mos	1
Sox7	Fgf3	1
Sox2	Fgf3	-1
Mef2a	Sncg	1
Sall2	Cdkn1a	1
Junb	Mmp13	1
Smad3	Mmp13	1
Gli1	Ptch1	1
Gli2	Ptch1	1
Gli3	Ptch1	1
Esr1	Pelp1	1
Esr2	Pelp1	1
Znf354c	Itgad	1
Klf10	Itgad	1
Tp53	Ppp1r13b	1
Sp3	Reck	1
Myc	Eif4e	1
Tbx5	Tbx5	1
Pax6	Ctcf	1
Ctcf	Pax6	-1
Ctcf	Mpz	1
Pax6	Mpz	1
Cebpb	Cd1d1	1
Lef1	Cd1d1	-1
Tp53	Cop1	1
Otx2	Shh	1
E2f1	Siva1	1
Tp53	Siva1	1
Myb	Dhrs2	1
Mybl1	Dhrs2	1
Smarca1	Plk1	1
E2f4	Plk1	-1
Pdx1	Glb1	1
Runx2	Ihh	1
Foxc1	Cnmd	1
Sp3	Cnmd	1
Mafk	Cdkn2c	1
Runx2	Vegfa	1
Dmtf1	Dmp1	1
Cebpg	Apoa1	1
Pax3	Reg1	1
Atf4	Rps6ka3	1
Foxo3	Fbxo32	1
Otx2	Nppa	1
Pax6	Otx2	1
Otx2	Pax6	1
Pax6	Nppa	1
Sox1	Hes1	-1
Cebpb	Cebpg	1
Cebpa	Fabp4	1
Mef2a	Mapk14	1
Sp3	Kdr	1
Pparg	Kdr	1
Ahr	Cdkn2a	1
Pgr	Crh	-1
Sox17	Ache	1
Sox17	Cryab	1
Sox17	Hspb2	1
Stat3	Mmp2	1
Nfatc1	Bcl2	1
Tfap2a	Wdtc1	1
Sp1	Mier1	1
Mycn	Nes	1
Sp3	Sct	1
Sp3	Neurod1	1
Neurod1	Sp3	1
Sp3	Tcf3	1
Tcf3	Sp3	1
Sp1	Sct	1
Cebpa	Cps1	1
Nr5a2	Abcg5	1
Nr5a2	Abcg8	1
Pdx1	Pcif1	1
Mafb	Mapk1	1
Ahr	Atm	1
Ahr	Tnfrsf11a	1
Gata1	Tac3	1
Esr1	Tac3	1
Stat2	Samhd1	1
Srebf1	Nr0b2	1
Srebf2	Nr0b2	1
Srebf1	Cyp7a1	-1
Runx1	Csf2	1
Tp53	Prkaca	1
Srebf1	Adh1	1
Foxa2	Alas2	1
Foxm1	Alas2	1
Foxa2	Ins2	1
Hoxb13	Ccnd1	-1
Hoxb13	Myc	-1
Sp2	Ceacam2	-1
Sp2	Ceacam1	-1
Tbx22	Ins2	-1
Ppara	Retn	1
Klf6	Fhit	1
Klf6	Igf1r	1
Tp53	Fhit	1
Klf6	Insr	1
Elf1	Cdkn1b	1
Elf1	Rps6kb1	1
Gfi1b	Gfi1	1
Gfi1	Gfi1b	1
Gfi1	Gfi1	1
Ppara	Ppara	1
Dlx3	Hsd3b3	1
Dlx3	Hsd3b2	1
Dlx3	Hsd3b6	1
Tfap2c	Hsd3b3	1
Tfap2c	Hsd3b2	1
Tfap2c	Hsd3b6	1
Tfap2c	Hsd3b1	1
Ar	Lats2	1
Pax3	Fcgrt	1
Tp53	Cxcl1	1
Ar	Scap	1
Sp1	Nes	1
Sp3	Nes	1
Ar	Ngf	1
Cebpd	Ngf	1
Creb1	Ngf	1
Tp53	Ankrd2	1
Runx2	Fgf3	1
Pbx1	Rhd	1
Etv4	Cav1	1
Etv5	Cav1	1
Tcf3	Cdkn2a	1
Hand2	Cops5	1
Sp1	Phgdh	1
Nfat5	Slc6a6	1
Usf1	Ghrl	1
Ar	Hsd17b1	1
Stat3	Pcdh8	1
Ncoa1	Cyp7a1	1
Smarca1	Pparg	1
Nr3c1	Tlr2	1
Ctcf	Igf2	-1
Pax6	Ipo13	1
Crx	Ipo13	1
Pax3	Ipo13	1
Egr1	Osm	1
Arnt	Cyp1a2	1
Abl1	Jun	1
Jun	Abl1	1
Jun	Bcr	1
Irf9	Oas1a	1
Esr1	Serpinb5	1
Ncoa3	Fcer1g	1
Bhlhe41	Bhlhe41	1
Bmal2	Bhlhe41	1
Nr3c1	Chrna7	1
Hnf1a	Agt	1
Cebpa	Ephx1	1
Cebpa	Nfya	1
Rela	Sirt1	1
Prdm1	Cd40	1
Egr1	Icam1	1
Fos	Rela	1
Rela	Fos	1
Nr4a1	Nr0b1	1
Nr0b1	Nr4a1	-1
Ncoa1	Nr4a1	1
Nr1i3	Cyp2c38	1
Nr1i3	Cyp2c39	1
Nr1i3	Cyp2c29	1
Epas1	Egln3	1
Hif1a	Egln3	1
Pparg	C1qtnf3	1
Sp1	C1qtnf3	1
Pou1f1	C1qtnf3	1
Nr2f2	Pygm	1
Fos	Npy	1
Tbx3	Gja5	-1
Nkx2-5	Gja5	1
Tbx3	Nppa	-1
Tbx5	Gja5	1
Sp1	Fgf2	1
Ssrp1	Faslg	1
Pax6	Igbp1	1
Pax6	Cryaa	1
Kat7	Ins2	1
Esr1	Mta3	1
Tbp	Egf	1
Nfkb1	Map3k8	1
Fos	Myocd	1
Fos	Gab2	1
Nr0b2	Gab2	1
Mef2d	Nr4a1	-1
Egr3	Znf354c	1
Egr3	Nab2	1
Nab2	Egr3	-1
Hnf4g	Ghr	1
Nr2f2	Ghr	1
Ssrp1	Crebzf	1
Esr1	Crebzf	1
Esr1	Esr1	1
Klf6	Cdkn1a	1
Nfatc3	Sftpd	1
Esr1	Flt1	-1
Mef2a	Phb2	1
Myod1	Phb2	1
Nfat5	Slc6a12	1
Nfat5	Atm	1
Gli2	Gli1	1
Sp1	Nlrp1b	1
Uncx	Uncx	1
Arnt	Uncx	1
Ar	Il18	1
Hif1a	Cygb	1
Tp53	S100b	1
Stat2	Il21	1
Stat3	Il21	1
Sp1	Ddit4	1
Nfatc2	Il2	1
Pdx1	G6pc2	1
Pax6	G6pc2	1
Ets1	Nos3	1
Kcnip3	Tg	1
Kcnip3	Pdyn	-1
Nr5a2	Nr0b1	1
Nr0b1	Nr5a2	1
Nr5a2	Star	1
Smad2	Smad7	1
Wt1	Stag2	1
Nfic	Sgca	1
Usf2	Thbs1	1
Usf1	Thbs1	1
Nfatc2	Fgf2	1
Nfatc2	Serpinf1	1
Nfatc2	Cflar	1
Irf3	Abcc2	1
Tp53	Carm1	1
Usf1	Pf4	1
Usf2	Pf4	1
Nr1h4	Med1	1
Hhex	Tle1	1
Hhex	Tle5	1
Sp1	Smarcc1	1
Fos	Il12b	1
Pparg	Ifng	1
Smad2	Vegfa	1
Kat7	Cd4	1
Crx	Nr2e3	1
Nr2e3	Crx	1
Nrl	Nr2e3	1
Nr2e3	Nrl	1
Ppara	Angptl4	1
Ppard	Angptl4	1
Pparg	Angptl4	1
Cebpb	Pttg1ip	1
Runx2	Pttg1	1
Runx2	Pttg1ip	1
Epas1	Flt1	1
Epas1	Tek	1
Arnt	Flt1	1
Hif1a	Flt1	1
Myc	Adm	1
Msx1	H1-5	1
Stat2	Ifnb1	1
Stat2	Jun	1
Stat2	Ifit2	1
Sp1	Cdc42bpg	1
Hif1a	Atp7a	1
Ets1	Socs1	-1
Stat6	Socs1	1
Myc	Tpi1	1
Fos	F3	1
Jun	F3	1
Tp53	Polk	-1
Elf4	Polk	1
Prox1	Cyp7a1	-1
Esr2	Ahr	1
Ahr	Esr2	1
Sp1	Dpysl2	1
Nr4a1	Hsd3b1	1
Myc	Cdk4	1
Usf1	Cdk4	1
Tp53	Ezh2	-1
Ezh2	Tp53	-1
Ezh2	Ezh2	1
Myb	Cnot9	1
E2f3	Tnf	1
E2f3	Tp73	1
Rela	Bglap	1
Rela	Bglap3	1
Rela	Bglap2	1
Tp53	Hspa5	1
Jun	Mmp2	1
Rela	Faslg	1
Cdx1	Hnf4a	1
Hnf4a	Cdx1	1
Sp1	Kifbp	1
Sp1	Liph	1
Sp1	Mapk14	1
Sp3	Kifbp	1
Sp3	Liph	1
Sp3	Mapk14	1
Esr1	Ccna2	1
Tp53	Erbb2	1
Hnf1a	S100g	1
Cdx2	S100g	1
Esr2	Serpine1	-1
Esr1	Serpine1	1
Stat3	Il1rn	1
Nr5a2	Arg1	1
Creb1	Il17a	1
Sp1	Lmna	1
Zfpm2	Gata4	1
Sox17	Adra1d	1
Sox17	Lama1	1
Sox7	Lama1	1
Sp1	Lama1	1
Sp3	Lama1	1
Egr1	Nr3c1	1
Hsf1	Hsp90ab1	1
Hsf1	Hspa9	1
Bhlhe40	Fas	1
Cebpg	Ccl12	1
Crem	Gpx4	1
Tp73	Birc5	-1
Egr1	Crebbp	1
Tp53	Calm1	1
Tp53	Calm2	1
Tp53	Calm3	1
Cebpb	Map2k1	1
Jun	Ppp1r15a	1
Hand1	Twist2	1
Alx3	Sst	1
Ssrp1	Alb	1
Myc	Pdgfrb	-1
Atf1	Polr2f	1
Atf2	Polr2f	1
Fos	Polr2f	1
Jun	Gnrhr	1
Gata1	H2-T23	1
Irf1	Il7	1
Irf2	Il7	-1
Rfx2	Rfx2	1
Lmx1b	Ebf1	1
Lmx1b	Zic1	-1
Nfatc2	Il13	1
Nfatc1	Il13	1
Stat3	Etv6	1
Etv6	Stat3	-1
Tp53	Fn1	-1
Gata6	Plau	1
Cebpb	Terf1	1
Atf3	Pln	-1
Ppara	Gpd1	1
Creb1	Ntrk2	1
Etv6	Abcb1a	-1
Runx1	Abcb1a	1
Hif1a	Itgb2	1
Nr6a1	Prm2	1
Jun	Ren1	1
Rara	Slc10a2	1
Smad3	Bambi	1
Smad4	Bambi	1
Sox9	Cdx2	-1
Creb1	Atf4	1
Atf4	Creb1	-1
Atf4	Usf1	1
Usf1	Atf4	1
Ssrp1	Amy1	1
Ssrp1	Cp	1
Stat3	Srebf1	-1
Nfkbiz	Il6	1
Irf1	Tnfsf10	1
Smad2	App	1
Smad3	App	1
Usf1	Hmox1	1
Usf2	Hmox1	1
Hhex	Tagln	1
Nfic	Adra1d	1
Elf1	Mapk14	1
Rbpj	Rab27a	1
Rbpj	Rbpj	1
Egr1	Fgf2	1
Sp1	Pdgfc	1
Egr1	Pdgfc	1
Rfx5	Ifng	1
Esr1	Ahr	1
Ahr	Esr1	1
Nfatc1	Fastk	1
Nfatc1	Myh4	-1
Nfatc1	Myh7	1
Cxxc1	Igfbp3	1
Tfcp2	Igfbp3	1
Ets1	Plau	1
Tp53	Cd44	-1
Stat3	Il12b	-1
Nr1i3	Cyp3a11	1
Nr1i3	Cyp3a41a	1
Nr1i3	Cyp3a16	1
Nr1i2	Cyp3a11	1
Nr1i2	Cyp3a41a	1
Nr1i2	Cyp3a16	1
Gfi1	Tspoap1	1
Hif1a	Id2	1
Pou2f2	Ywhab	1
Sp1	Brca1	1
Ctcf	Brca1	1
Esr1	Itgb3bp	1
Pgr	Adamts1	1
Nrf1	E2f6	1
Smad4	Nkx2-1	1
Sp1	Nkx2-1	1
Nkx2-1	Sp1	1
Nr1i3	Esr1	1
Tbpl1	Poli	1
Xbp1	Hsp90b1	1
Rora	Hif1a	1
Hif1a	Rora	1
Arnt	Rora	1
Jun	Myb	1
Jund	Myb	1
Jund	Tspoap1	1
Cebpg	Btk	1
Fos	Il5	1
Kat7	Il5	1
Lhx3	Fshb	1
Lhx3	Inhba	1
E2f1	Birc5	1
E2f2	Birc5	1
E2f3	Birc5	1
Nfatc4	Myl2	1
Crem	Cck	1
Esr1	Timp4	1
Tp53	Aifm2	1
Nfe2l2	Cox6a1	1
Nrf1	Cox6a1	1
Sp1	Cox6a1	1
Ddit3	Crp	1
Klf15	Grb10	1
Klf15	Rho	-1
Nrl	Grb10	1
Egr1	Maoa	1
Jun	Maoa	1
Tbp	Cdkn1a	1
Znf76	Cdkn1a	-1
Creb1	Mmp2	1
Gata1	Gfi1b	1
Pgr	Ccnd1	1
Fli1	Igfbp3	-1
Gata6	Cyp11a1	1
Stat3	Rasa1	1
Tp53	Hsp90aa1	1
Creb1	Nlrp1b	1
Myc	Wt1	1
Wt1	Myc	-1
Tp53	Tnfrsf10b	1
Egr1	Il12a	1
Tcf21	Cyp11a1	1
Ncoa3	Ubc	1
Rxrb	Pkd1	1
Yy1	Hsd3b1	1
Smad3	Gast	1
Smad4	Gast	1
Elk1	Mrtfa	1
Jun	Nr0b2	1
Nr0b2	Jun	1
Nfatc2	Cd34	1
Nr1h2	Abca1	1
Nr1h2	Abcg1	1
Nr1h2	Apoe	1
Mtf2	Shh	-1
Mtf2	Mtf2	1
Ssrp1	Mtf2	1
Ssrp1	Shh	1
Cebpa	Tlr9	1
Creb1	Tlr9	1
Elf1	Tlr9	1
Elk1	Tlr9	1
Ets2	Tlr9	1
Jun	Tlr9	-1
Rela	Tlr9	-1
Sp1	Gpc4	1
Sp3	Gpc4	1
Zfpm1	Hbb-b1	1
Ets1	Pdgfa	1
Egr1	Nf1	1
Sp3	Nf1	1
Sp3	Pdgfa	1
Atf4	Atf6	1
Cebpb	Ghrhr	1
Cebpb	Prkaca	1
Ets1	Grpr	1
Klf11	Smad7	-1
Znf76	Znf143	1
Gata4	Ctnna3	1
Mef2c	Ctnna3	1
Gata1	Fcgr1	1
Tfcp2	Atm	1
Tfcp2	Nprl3	1
Jdp2	Csf1r	1
Erf	Cela2a	1
Onecut1	Crebbp	1
Nfatc1	Ctsk	1
Spi1	Ctsk	1
Rora	Alox5	1
Rora	Rora	1
Hmga1	Cybb	1
Gfi1	Il7r	-1
Dnmt3b	Nos2	1
Foxo3	Sod2	1
Fos	Nppa	-1
Srf	Ppargc1a	1
Hif1a	Npm1	1
Nfatc1	Ache	1
Dnmt1	Mrc1	1
Nr1d1	Bmal1	-1
Bmal1	Nr1d1	1
Rora	Bmal1	1
Hif1a	Fech	1
Hsf1	Clu	1
Ppara	Cav1	1
Jun	Tnfsf11	1
Nfatc1	Tnfsf11	1
Nfatc2	Tnfsf11	1
Nfatc2	Cd40	1
Hif1a	Prkg1	1
Neurod1	Epo	1
Tfap2a	Smarca4	1
Smarca1	Mmp2	1
Srebf1	Apoa5	-1
Ssrp1	Apoa5	1
Nr2c2	Pim1	1
Creb1	Pomc	1
Nfatc2	Ghrh	1
Nfatc3	Ghrh	1
Fosl1	Mmp9	1
Rest	Oprm1	-1
Nr1i2	Cyp7a1	-1
Nr1i2	Cyp8b1	1
Fos	Crem	1
Crem	Fos	-1
Cebpg	Slco1b2	1
Rara	Slco1b2	1
Yy1	Snai2	1
Nr5a2	Ccnd1	1
Nr5a2	Ccne1	1
Six2	Gdnf	1
Cdx2	Mok	1
Zgpat	Rho	1
Nr1h3	Ins2	1
Nr2f2	Tert	1
Hnf4a	Ppargc1a	-1
Nr1i2	Ppargc1a	-1
Runx1	Pml	1
Vdr	Mapk1	1
Nr3c1	Got1	1
Myb	Hbb-b1	1
Ar	Zbtb16	1
Esr1	Tsc22d3	-1
Elf1	Akt1	1
Vdr	Phex	1
Zbtb7a	Comp	-1
Sp1	Retn	1
Pax3	Retn	1
Sp3	Retn	1
Pparg	Apoe	1
Tp53	Daxx	1
Nkx2-5	Slc5a5	1
Tp53	Mfge8	1
Ppara	Cyp27a1	-1
Sp1	Gclc	1
Atoh7	Gabrb3	1
Atoh7	Prph2	1
Neurog2	Atoh7	1
Atoh7	Neurog2	-1
Esr1	Nelfb	1
Esr1	Nsmf	1
Sp1	Akt1	1
Myc	Prkcg	1
Myc	Rel	1
Rel	Myc	1
Myc	Prkcq	1
Irf3	Il15	1
Spi1	Il12rb1	1
Irf3	Il12rb1	1
Smad4	Tshb	1
Tp53	Col1a2	1
Tbpl2	Tbp	1
Esr1	Crhbp	1
Esr2	Crhbp	-1
Nr1i2	Dnajc7	1
Smarca1	Epo	1
Nfatc1	Cx3cr1	1
Nfatc2	Cx3cr1	1
Xbp1	Large1	1
Nr3c1	Acat1	1
Dnmt1	Cldn16	1
Tbx15	Gja1	1
Tbx15	Tbx2	1
Irf3	Crebbp	1
Crx	Igf2	1
Myc	Igf2	-1
Nkx2-1	Tpo	1
Mef2a	Cpt1a	1
Mef2c	Cpt1a	1
Myb	Yeats4	1
Esr1	Yeats4	1
Vdr	Cyp3a13	1
Stat5a	Clnk	1
Srebf2	Abca1	-1
Foxm1	Pck1	1
Nr0b2	G6pc1	-1
Klf2	Cdkn1a	1
Runx1	Cd79a	1
Neurod1	Cd79a	1
Irf9	Ccnd2	-1
Irf9	Cdkn1a	1
Irf9	Cdkn1b	1
Dnmt3a	Dnmt3b	1
Dnmt3b	Dnmt3a	1
Sp1	Dnmt3a	1
Sp1	Dnmt3b	1
Sp3	Dnmt3a	1
Sp3	Dnmt3b	1
Yy1	Thbs1	-1
Gli2	Foxe1	1
Gata4	Myocd	1
Myc	Cflar	-1
Esr1	Cflar	1
Nfx1	Tert	1
Irf8	Nf1	1
Esr1	Grb14	1
Sp1	Bgn	1
Sp3	Bgn	1
Dnmt1	Egfr	1
Mitf	Hpgds	1
Ar	Pomc	1
Tbx15	Fadd	1
Atf4	Bglap	1
Atf4	Bglap3	1
Atf4	Bglap2	1
Stat3	Map2k5	1
Tp53	Sh2d1a	1
Hmga1	Kl	1
Hmga1	Btk	1
Hmga1	Hmga1	1
Myog	Chrng	1
Fos	Map2k1	1
Spi1	Keap1	1
Gata4	Acot13	1
Tbpl1	Terf1	1
Egr1	Syn1	1
Onecut1	Onecut3	1
Onecut3	Onecut1	1
Mycn	Mycn	1
Nr1i3	Il1b	1
Tp53	Cdh1	1
Msx2	Runx2	-1
Dlx5	Dlx5	1
Cebpb	Actg2	1
Cebpb	Acta2	1
Tbp	Fgfr1	1
Cebpb	Asns	-1
Nfe2l3	Nqo1	-1
Nr4a1	Mdm2	-1
Nr5a1	Sult2a1	1
Gata6	Sult2a1	1
Cebpa	G6pc1	1
Cebpb	G6pc1	1
Creb1	G6pc1	1
Tp53	Ikbip	1
Gata4	Cldn2	1
Dnmt1	Ascl1	1
Ascl1	Pnp	1
Ybx3	Gsr	1
Bhlhe41	Ccnd1	-1
Bhlhe41	Myh14	1
E2f4	Ccna2	1
Stat3	Oprm1	1
Znf354c	Cdh1	1
Atf2	Ace	1
Jun	Ace	1
Egr1	Pik3c3	1
Srebf2	Pla2g6	1
Sp1	Nqo2	1
Sp3	Nqo2	1
Sp1	Sod3	1
Sp3	Sod3	1
Tp73	Pdgfrb	1
Tp73	Nfya	1
Gata6	Lama1	1
Gata6	Rock1	1
Nr4a1	Pelp1	1
Tp53	Ccna1	1
Dlx3	Bglap	1
Dlx3	Bglap3	1
Dlx3	Bglap2	1
Hivep1	Hp	1
Elf1	Krt5	1
Elf1	Plec	1
Cebpg	Apob	1
Hnf1a	Apob	1
Ahr	Pon1	1
Foxh1	Nodal	1
Smad2	Nodal	1
Ssrp1	Cyp19a1	1
Nr4a1	Gadd45gip1	1
Ncoa2	Tat	1
Nr3c1	Tat	1
Ets1	Sh2d1a	1
Ets2	Sh2d1a	1
Rfx1	Ciita	1
Ets1	Erbb2	1
Sp1	Srebf1	1
Nr3c1	Slpi	1
Jun	Kitlg	1
E2f1	Isyna1	1
Pou4f3	Ntf3	1
Pax3	Pou3f2	1
Pou3f2	Pax3	1
Bcl3	Il10	1
Nfkb1	Il10	1
Tp63	Serpinb5	1
Spdef	Serpinb5	1
Myc	Ikbkb	1
Nr3c1	Cdkn1a	1
Pbx3	Tlx3	1
Nfic	Gabra6	1
Mef2a	Nppa	1
Mef2a	Adk	1
Mef2a	Pitx2	1
Pitx2	Adk	1
Pitx2	Pitx2	1
Foxp3	Il2ra	1
Nr4a1	Il2	1
Sp1	Cyp2j6	1
Usf1	Bax	1
Etv4	Bax	1
Fli1	Mpl	1
Ets1	Gp9	1
Ets1	Mpl	1
Hes1	E2f1	-1
Hes1	Slc25a5	1
Irf1	Casp1	1
Batf3	Mmp1a	-1
Nfe2l2	Hbb-b1	1
Ets1	Chuk	1
Hnf4a	Ugt1a9	1
Smad3	Ppard	-1
Nhlh1	Ndn	1
Taf1	Ndn	1
Nr1h4	Carm1	1
Tfcp2l1	Cyp11a1	1
Ubp1	Cyp11a1	1
Hif1a	Pfkfb4	1
Jun	Stmn1	1
Sp3	Fgfr4	1
Tfap2a	Pitx2	1
Tal1	Flt1	1
Sp1	Nrf1	1
Cebpb	Sod3	1
Mef2a	Acta2	1
Mef2a	Actg2	1
Stat3	Scgb3a2	1
Sp1	B3gnt9	1
Spi1	Sphk1	1
Nr4a3	Emd	1
Smarca1	St7	-1
Hnf1b	Hnf1b	1
Hnf1b	Nnmt	1
Pdx1	Gip	1
Nr4a1	Cyp19a1	-1
Nr4a2	Cyp19a1	-1
Nr4a3	Cyp19a1	1
Srebf2	Scarb1	1
Sp1	Tagln	-1
Sp1	Theg	1
Sp1	Gata3	1
Gata3	Sp1	1
Gata3	Zeb1	1
Zeb1	Gata3	-1
Hnf1a	Cyp2e1	1
Nr2f1	Cyp2e1	1
Irf8	Il12a	1
Tp53	Bak1	1
Sp1	Bbc3	1
Runx1	Runx1t1	1
Usf1	Litaf	1
Rbpj	Met	1
Egr1	Ccna2	1
Nfkb2	Myl2	1
Nfkb2	Nppa	1
Srf	Myl2	1
Aire	Tg	1
Hnf4a	Mtap	1
Snai1	Cdh3	1
Vdr	Ercc3	1
Cebpg	Oxtr	1
Gata1	Il13	-1
Ikzf4	Dlg4	1
Znf354c	Dlg4	1
Maf	Cd2	1
Maf	Cd4	1
Thra	Ucp3	1
Irf2	Myh9	1
Mlxipl	Acaca	1
Smad6	Col1a2	1
Nfil3	Vwf	1
Tp53	Igbp1	1
Irf3	Akt1	1
Sp1	9530003J23Rik	1
Sp1	Lyz2	1
Sp1	Lyz1	1
Wt1	Nphs1	1
Zfp1	Slc11a1	1
Tbp	Pla2g4a	1
Kat7	Orc2	1
Bcl6	Ccnd2	-1
Foxo3	Ccnd2	-1
Foxo3	Bcl6	1
Tp53	Irf1	1
Irf1	Tp53	1
E2f2	Cdk1	1
E2f3	Cdk1	1
Mybl2	Ccnb1	1
Mybl2	Cdk1	1
Cebpb	Sprr1a	1
Jun	Sprr1a	1
Fos	Fosl1	1
Foxl2	Cyp19a1	1
Nfkbib	Cnr1	1
Nfkbib	Nfkbib	1
Nfkbib	Sdhc	1
Nfkbib	Serpinb1a	1
Nfkbib	Sod2	1
Ar	Abca1	1
Gli2	Bcl2	1
Pparg	Cyp1a1	-1
Mafb	Cryab	1
Etv5	Ltf	1
Smad4	Fn1	1
Ar	Sarg	1
Rfx2	Alas2	1
Isl1	Kcnj11	1
Pdx1	Kcnj11	1
Hoxa10	Fkbp4	1
Vdr	Insig2	1
Stat5a	Ifng	1
Myc	Nme2	1
Nme2	Myc	1
Elk1	Srf	1
Klf11	Cav1	-1
Sp1	Cav1	1
Nr3c1	Ccl11	1
Pparg	Ccl11	1
Rela	Ccl11	1
Olig1	Fgf2	1
Tbpl2	Txn	1
Gata4	Gja5	1
Ppara	Mttp	1
Gata4	Gcg	1
Hnf4a	Wt1	1
Klf2	Pla2g4a	1
Mbd2	Rb1	1
Esr1	Tff1	1
Sp1	Tff1	1
Sp3	Tff1	1
Sp1	Cdh2	1
Sp3	Cdh2	-1
Ets1	Nr2f2	1
Nr1i2	Sult2a1	1
Jarid2	Nppa	-1
Sox7	Gata4	1
Sox7	Gata6	1
Fos	Il18	1
Jdp2	Pon2	1
Jun	Pon2	1
Egr1	Socs1	1
Lef1	Dll1	1
Hsf1	Prkaca	1
Tfap2c	Wwox	1
Tfcp2	Dpep1	1
Gata6	Mylk	-1
Gata6	Myocd	1
Gata6	Tagln	1
Sp1	Dmd	1
Sp3	Dmd	1
Crem	Star	1
Jun	Cyp8b1	1
Ahr	Faslg	1
Ybx1	Faslg	1
Sp3	Socs3	1
